U113,S201,A302,1495130523,1465130523,1465130523,U,ST412,0,1,1
U114,S200,A304,1465130523,1465230523,1465230523,A,ST411,1,1,0
U103,S202,A301,1495130523,1485130523,1465230523,AP,ST408,2,1,0
U100,S200,A301,1465130523,1485130523,1465230523,A,ST414,2,1,1
U107,S207,A303,1465130523,1485130523,1485130523,AU,ST415,3,0,0
,S200,A303,1465230523,1485130523,1485130523,AP,ST411,2,1,1
U120,S205,A303,1465130523,1485130523,1465230523,E,ST413,1,0,0
U117,S209,A300,1495130523,1465230523,1475130523,AU,ST406,1,0,0
U103,S204,A303,1495130523,1475130523,1465230523,,ST412,0,1,1
U111,S210,,1475130523,1465230523,1465130523,A,ST410,2,1,0
U117,S204,A304,1465130523,1465230523,1465130523,U,ST400,1,1,0
U108,S201,A300,1465230523,1465130523,1475130523,A,ST407,2,0,1
U119,S208,A301,1465230523,1485130523,1475130523,AU,ST411,3,0,0
U107,S206,A305,1465230523,1465230523,1485130523,E,ST412,3,1,0
U104,S202,A305,1465130523,1465230523,1475130523,AP,ST411,3,1,1
U102,S202,A302,1475130523,1485130523,1465230523,AP,ST407,1,0,0
U111,S210,A305,1465230523,1485130523,1465230523,AP,ST414,1,0,1
U115,S206,A305,1495130523,1465230523,1465130523,E,ST415,3,0,1
U118,S202,A302,1465130523,1485130523,1465230523,U,ST400,2,0,0
U113,S207,A303,1465130523,1485130523,1485130523,E,ST414,1,0,1
